EU,64/68,68/72,72/76,76/80,80/84,84/88,88/92,92/96,96/100,100/104,104/108,108/112,112/116
Italy,43,44,45,46,47,48,49,50,51,52,53,54,55
UK / US,27,28,29,30,31,32,33,34,36,38,40,42,44
