Japanese dresses sizes (JIS L 4005:2001),,,,,,,,,,,,,,,
Dress size,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
Bust (cm),74,77,80,83,86,89,92,96,100,104,108,112,116,120,124
