overbust,bust,underbust,natural waist,waist,low waist,hip,gender,study
89.0,91.9,77.3,74.6,,86.0,104.5,Cis woman,ANSUR (1988)
94.4,99.2,80.6,79.1,,85.2,98.1,Cis woman,ANSUR (1988)
88.3,94.8,74.8,71.8,,84.7,98.7,Cis woman,ANSUR (1988)
93.2,93.5,78.1,73.2,,81.1,101.4,Cis woman,ANSUR (1988)
83.1,79.5,69.3,65.8,,70.5,94.8,Cis woman,ANSUR (1988)
98.4,100.8,91.8,82.5,,89.6,97.0,Cis woman,ANSUR (1988)
85.4,89.0,72.8,70.5,,81.4,94.9,Cis woman,ANSUR (1988)
101.4,104.6,91.5,80.4,,88.4,99.7,Cis woman,ANSUR (1988)
83.1,84.9,71.7,68.4,,76.7,92.5,Cis woman,ANSUR (1988)
84.7,86.5,73.1,70.9,,76.7,89.1,Cis woman,ANSUR (1988)
80.9,83.3,73.1,65.6,,69.5,91.9,Cis woman,ANSUR (1988)
89.2,91.0,76.7,71.7,,85.4,99.8,Cis woman,ANSUR (1988)
96.4,101.6,86.5,93.0,,98.0,104.9,Cis woman,ANSUR (1988)
92.4,92.3,81.3,72.3,,80.0,98.4,Cis woman,ANSUR (1988)
87.7,87.6,77.4,72.2,,74.5,92.3,Cis woman,ANSUR (1988)
98.5,94.7,82.3,77.7,,86.3,105.6,Cis woman,ANSUR (1988)
100.2,106.7,85.2,88.3,,91.6,96.6,Cis woman,ANSUR (1988)
88.6,88.1,75.2,70.5,,77.0,97.6,Cis woman,ANSUR (1988)
90.9,87.4,76.4,70.9,,79.3,98.8,Cis woman,ANSUR (1988)
102.7,103.4,89.5,92.7,,102.0,111.4,Cis woman,ANSUR (1988)
93.5,90.1,78.2,78.0,,83.5,100.8,Cis woman,ANSUR (1988)
87.3,88.3,75.8,68.9,,77.6,90.7,Cis woman,ANSUR (1988)
84.3,80.5,70.5,64.9,,73.9,94.6,Cis woman,ANSUR (1988)
92.6,94.6,77.5,73.6,,77.3,96.6,Cis woman,ANSUR (1988)
87.5,90.0,78.9,74.7,,86.2,96.7,Cis woman,ANSUR (1988)
86.1,87.7,72.7,74.3,,80.0,98.5,Cis woman,ANSUR (1988)
84.8,91.2,74.4,67.5,,70.3,87.2,Cis woman,ANSUR (1988)
86.1,89.6,76.5,79.2,,89.7,96.2,Cis woman,ANSUR (1988)
