overbust,bust,underbust,natural waist,waist,low waist,hip,gender,study
93.4,97.5,76.9,74.1,,81.5,103.8,Cis woman,ANSUR (1988)
93.5,93.1,83.8,70.7,,71.9,97.1,Cis woman,ANSUR (1988)
86.2,89.8,75.5,73.4,,84.7,96.8,Cis woman,ANSUR (1988)
85.0,87.8,77.7,68.1,,70.4,91.9,Cis woman,ANSUR (1988)
86.7,89.2,73.8,66.9,,73.4,92.2,Cis woman,ANSUR (1988)
95.9,99.7,85.8,80.7,,85.0,95.1,Cis woman,ANSUR (1988)
86.2,89.1,73.6,72.3,,78.0,103.6,Cis woman,ANSUR (1988)
97.3,96.4,80.6,81.7,,98.6,107.9,Cis woman,ANSUR (1988)
88.8,91.1,79.8,70.6,,77.0,96.0,Cis woman,ANSUR (1988)
87.5,90.4,78.2,72.2,,82.3,95.8,Cis woman,ANSUR (1988)
92.2,89.7,75.0,71.4,,71.8,99.5,Cis woman,ANSUR (1988)
98.2,102.9,83.3,78.6,,87.3,104.4,Cis woman,ANSUR (1988)
95.6,97.0,84.0,79.9,,90.7,100.9,Cis woman,ANSUR (1988)
88.8,88.1,76.8,69.4,,73.4,93.6,Cis woman,ANSUR (1988)
78.3,80.2,70.6,59.0,,65.6,85.7,Cis woman,ANSUR (1988)
95.6,100.4,83.2,78.5,,88.8,111.6,Cis woman,ANSUR (1988)
89.0,88.5,75.2,72.5,,76.4,99.3,Cis woman,ANSUR (1988)
84.4,84.6,72.7,66.7,,74.8,95.5,Cis woman,ANSUR (1988)
95.0,100.7,81.5,77.7,,84.9,96.8,Cis woman,ANSUR (1988)
102.9,106.3,91.3,87.5,,96.5,104.4,Cis woman,ANSUR (1988)
87.4,89.3,77.9,71.6,,75.8,98.1,Cis woman,ANSUR (1988)
83.3,83.5,71.0,66.8,,77.5,92.0,Cis woman,ANSUR (1988)
102.3,103.2,88.8,86.5,,91.2,99.9,Cis woman,ANSUR (1988)
88.2,93.0,79.2,74.9,,84.4,94.7,Cis woman,ANSUR (1988)
89.8,89.9,76.2,69.1,,78.8,95.8,Cis woman,ANSUR (1988)
93.9,97.2,77.6,75.5,,84.5,98.4,Cis woman,ANSUR (1988)
92.8,92.3,78.6,75.2,,82.6,100.6,Cis woman,ANSUR (1988)
90.2,93.4,77.9,74.5,,82.0,108.3,Cis woman,ANSUR (1988)
90.7,94.0,76.0,78.4,,87.4,94.5,Cis woman,ANSUR (1988)
87.9,91.4,75.3,74.0,,77.6,101.0,Cis woman,ANSUR (1988)
85.9,88.0,76.7,69.5,,72.4,97.7,Cis woman,ANSUR (1988)
86.5,88.2,75.4,70.5,,74.3,93.8,Cis woman,ANSUR (1988)
88.1,92.1,71.9,65.3,,67.6,96.8,Cis woman,ANSUR (1988)
106.2,111.2,91.6,89.4,,95.3,106.5,Cis woman,ANSUR (1988)
88.4,88.2,76.7,68.4,,75.0,87.2,Cis woman,ANSUR (1988)
81.6,85.3,71.2,65.6,,74.5,94.0,Cis woman,ANSUR (1988)
91.0,95.5,79.4,76.9,,79.7,97.3,Cis woman,ANSUR (1988)
87.4,87.8,70.9,70.6,,75.3,99.5,Cis woman,ANSUR (1988)
82.0,83.8,75.1,66.7,,70.4,91.3,Cis woman,ANSUR (1988)
93.3,104.0,88.8,85.5,,93.1,100.9,Cis woman,ANSUR (1988)
87.5,89.9,74.4,73.3,,86.6,101.7,Cis woman,ANSUR (1988)
85.5,88.3,72.8,66.4,,75.5,93.3,Cis woman,ANSUR (1988)
85.7,86.5,74.9,66.4,,69.0,85.6,Cis woman,ANSUR (1988)
84.8,87.3,74.0,66.1,,73.6,89.8,Cis woman,ANSUR (1988)
80.4,78.4,66.8,62.2,,69.1,92.1,Cis woman,ANSUR (1988)
97.5,100.3,86.4,83.3,,86.5,108.4,Cis woman,ANSUR (1988)
95.8,96.4,82.6,72.1,,73.2,97.2,Cis woman,ANSUR (1988)
91.6,92.3,78.3,65.9,,71.7,101.2,Cis woman,ANSUR (1988)
86.4,80.3,73.6,60.6,,64.0,90.3,Cis woman,ANSUR (1988)
88.1,89.9,77.7,76.1,,82.0,101.1,Cis woman,ANSUR (1988)
97.4,100.9,84.9,82.5,,82.3,98.5,Cis woman,ANSUR (1988)
90.7,96.3,77.6,72.3,,81.8,102.0,Cis woman,ANSUR (1988)
82.2,81.8,72.8,64.7,,70.2,89.3,Cis woman,ANSUR (1988)
79.9,82.0,71.2,68.2,,70.5,87.8,Cis woman,ANSUR (1988)
86.3,88.2,73.4,66.6,,76.2,95.5,Cis woman,ANSUR (1988)
98.4,97.8,85.7,83.8,,90.0,100.7,Cis woman,ANSUR (1988)
96.0,100.3,83.4,83.1,,97.0,105.2,Cis woman,ANSUR (1988)
85.7,84.0,73.3,71.9,,76.8,96.4,Cis woman,ANSUR (1988)
89.6,91.7,76.0,70.8,,78.9,97.9,Cis woman,ANSUR (1988)
82.9,87.2,70.0,68.1,,77.0,96.0,Cis woman,ANSUR (1988)
84.5,87.8,72.2,69.0,,69.9,96.9,Cis woman,ANSUR (1988)
82.3,82.8,71.1,71.3,,75.3,90.7,Cis woman,ANSUR (1988)
86.4,88.9,76.3,67.4,,74.0,95.0,Cis woman,ANSUR (1988)
94.4,98.1,82.5,80.9,,85.8,97.2,Cis woman,ANSUR (1988)
87.1,91.3,76.2,71.4,,77.0,93.4,Cis woman,ANSUR (1988)
84.4,82.2,69.4,62.1,,71.9,86.7,Cis woman,ANSUR (1988)
94.2,104.6,84.5,79.1,,91.2,93.7,Cis woman,ANSUR (1988)
102.1,106.0,90.5,91.9,,99.5,103.7,Cis woman,ANSUR (1988)
83.9,87.0,75.8,67.4,,74.2,93.6,Cis woman,ANSUR (1988)
84.6,87.1,73.1,64.1,,68.2,89.6,Cis woman,ANSUR (1988)
91.1,93.1,79.7,76.7,,79.1,100.6,Cis woman,ANSUR (1988)
85.2,84.5,73.8,68.8,,81.5,97.7,Cis woman,ANSUR (1988)
92.8,97.3,83.3,77.6,,82.3,95.6,Cis woman,ANSUR (1988)
84.3,94.2,78.5,74.2,,76.2,97.2,Cis woman,ANSUR (1988)
86.9,89.1,76.8,75.4,,80.7,102.4,Cis woman,ANSUR (1988)
83.7,83.1,69.7,66.9,,73.7,94.0,Cis woman,ANSUR (1988)
89.3,91.1,76.6,72.5,,72.1,92.0,Cis woman,ANSUR (1988)
89.7,91.4,79.7,80.1,,88.1,100.2,Cis woman,ANSUR (1988)
88.3,91.1,77.1,70.4,,73.9,95.1,Cis woman,ANSUR (1988)
84.6,83.8,71.6,70.0,,83.9,95.5,Cis woman,ANSUR (1988)
92.4,96.3,79.1,73.8,,78.6,102.7,Cis woman,ANSUR (1988)
88.6,91.9,79.8,71.3,,74.9,93.1,Cis woman,ANSUR (1988)
88.4,87.3,71.4,65.0,,66.3,90.2,Cis woman,ANSUR (1988)
88.2,97.6,76.2,74.0,,80.5,95.1,Cis woman,ANSUR (1988)
107.5,114.6,94.7,91.5,,103.4,112.7,Cis woman,ANSUR (1988)
80.4,84.2,74.4,69.6,,80.2,90.9,Cis woman,ANSUR (1988)
87.8,87.2,73.4,68.0,,73.6,89.5,Cis woman,ANSUR (1988)
84.5,90.0,74.1,72.0,,80.4,97.4,Cis woman,ANSUR (1988)
98.1,101.8,83.8,83.2,,98.0,100.1,Cis woman,ANSUR (1988)
85.8,87.9,76.0,69.8,,71.5,92.7,Cis woman,ANSUR (1988)
88.1,90.5,72.1,70.6,,81.3,100.2,Cis woman,ANSUR (1988)
84.4,88.2,75.2,70.7,,76.2,95.6,Cis woman,ANSUR (1988)
91.9,94.2,80.6,73.3,,81.0,100.8,Cis woman,ANSUR (1988)
88.0,95.0,72.6,65.3,,67.7,90.8,Cis woman,ANSUR (1988)
85.5,88.0,73.8,62.5,,64.9,89.9,Cis woman,ANSUR (1988)
87.0,86.0,73.5,67.4,,73.5,89.7,Cis woman,ANSUR (1988)
81.2,83.0,67.0,61.4,,66.3,84.8,Cis woman,ANSUR (1988)
92.1,96.1,79.7,78.5,,85.2,89.5,Cis woman,ANSUR (1988)
82.0,83.2,71.6,64.4,,72.4,88.1,Cis woman,ANSUR (1988)
89.1,91.8,74.2,70.7,,75.4,94.9,Cis woman,ANSUR (1988)
99.4,100.2,81.7,81.0,,87.8,107.4,Cis woman,ANSUR (1988)
88.5,92.1,77.4,72.0,,76.6,91.8,Cis woman,ANSUR (1988)
91.9,94.4,82.5,71.8,,77.3,97.8,Cis woman,ANSUR (1988)
94.2,101.9,81.5,82.3,,96.5,102.9,Cis woman,ANSUR (1988)
90.5,96.9,81.2,84.4,,98.5,101.9,Cis woman,ANSUR (1988)
90.4,91.2,80.2,72.5,,74.8,103.8,Cis woman,ANSUR (1988)
89.2,86.8,72.0,69.3,,76.0,98.0,Cis woman,ANSUR (1988)
87.8,90.6,77.1,74.8,,86.1,98.7,Cis woman,ANSUR (1988)
91.5,95.3,82.5,79.4,,85.4,102.0,Cis woman,ANSUR (1988)
89.3,94.0,78.4,71.1,,72.5,93.9,Cis woman,ANSUR (1988)
85.4,83.5,73.2,64.9,,68.4,88.2,Cis woman,ANSUR (1988)
83.2,81.7,72.4,68.2,,75.8,92.2,Cis woman,ANSUR (1988)
89.0,91.0,73.9,66.2,,67.8,93.0,Cis woman,ANSUR (1988)
85.6,86.3,70.3,65.6,,70.6,87.7,Cis woman,ANSUR (1988)
81.8,86.4,68.5,64.3,,67.0,88.8,Cis woman,ANSUR (1988)
90.9,91.9,77.2,70.8,,74.3,97.9,Cis woman,ANSUR (1988)
89.3,94.6,80.3,77.6,,83.2,102.0,Cis woman,ANSUR (1988)
94.8,98.6,88.5,88.8,,88.9,99.2,Cis woman,ANSUR (1988)
81.2,82.5,66.8,64.6,,70.2,93.5,Cis woman,ANSUR (1988)
90.1,98.7,82.3,77.9,,81.3,99.5,Cis woman,ANSUR (1988)
87.4,86.4,75.5,68.4,,69.2,88.0,Cis woman,ANSUR (1988)
90.5,94.8,77.1,73.0,,78.2,104.3,Cis woman,ANSUR (1988)
87.6,91.5,73.5,70.8,,79.3,99.9,Cis woman,ANSUR (1988)
93.6,94.1,81.2,71.9,,85.0,99.0,Cis woman,ANSUR (1988)
83.3,84.2,71.6,64.8,,65.5,86.4,Cis woman,ANSUR (1988)
91.5,96.1,84.8,80.6,,85.7,95.2,Cis woman,ANSUR (1988)
85.5,88.9,75.2,70.4,,76.1,99.0,Cis woman,ANSUR (1988)
87.0,91.5,75.7,71.9,,79.9,92.5,Cis woman,ANSUR (1988)
84.2,87.4,71.5,63.7,,69.4,93.0,Cis woman,ANSUR (1988)
90.5,90.8,76.8,74.7,,78.6,96.3,Cis woman,ANSUR (1988)
81.9,82.0,68.8,67.3,,71.9,95.0,Cis woman,ANSUR (1988)
85.5,88.1,77.5,67.1,,78.5,93.1,Cis woman,ANSUR (1988)
75.5,76.2,71.0,62.2,,67.2,90.3,Cis woman,ANSUR (1988)
95.4,95.8,83.5,79.9,,85.5,97.1,Cis woman,ANSUR (1988)
82.4,81.8,68.2,66.2,,67.2,81.6,Cis woman,ANSUR (1988)
85.8,90.1,72.1,69.5,,75.9,96.1,Cis woman,ANSUR (1988)
91.4,87.2,78.2,75.8,,79.9,96.6,Cis woman,ANSUR (1988)
94.1,97.0,81.8,79.7,,85.8,101.1,Cis woman,ANSUR (1988)
87.5,91.1,75.4,72.2,,77.9,99.4,Cis woman,ANSUR (1988)
86.1,86.4,75.4,68.8,,76.2,93.8,Cis woman,ANSUR (1988)
86.2,85.3,75.2,67.6,,71.9,97.4,Cis woman,ANSUR (1988)
92.2,88.4,78.0,67.1,,69.8,97.2,Cis woman,ANSUR (1988)
90.7,95.1,84.7,82.6,,79.7,91.2,Cis woman,ANSUR (1988)
92.5,94.2,79.6,73.6,,80.5,93.9,Cis woman,ANSUR (1988)
90.2,87.2,75.5,70.5,,80.0,96.0,Cis woman,ANSUR (1988)
87.3,92.3,79.2,68.9,,77.9,103.9,Cis woman,ANSUR (1988)
81.0,78.5,68.6,62.6,,69.0,93.1,Cis woman,ANSUR (1988)
90.0,91.0,80.0,74.8,,77.1,98.5,Cis woman,ANSUR (1988)
93.2,96.1,81.3,78.8,,86.3,95.4,Cis woman,ANSUR (1988)
87.1,90.3,76.0,69.8,,76.5,98.0,Cis woman,ANSUR (1988)
97.9,97.1,83.7,81.0,,85.8,102.9,Cis woman,ANSUR (1988)
97.6,103.6,89.2,90.4,,101.8,110.3,Cis woman,ANSUR (1988)
84.2,83.4,72.3,61.5,,64.7,92.2,Cis woman,ANSUR (1988)
90.5,92.3,82.7,71.0,,72.8,94.6,Cis woman,ANSUR (1988)
92.8,90.6,81.2,77.0,,85.7,94.6,Cis woman,ANSUR (1988)
87.7,92.5,74.8,70.5,,79.7,99.2,Cis woman,ANSUR (1988)
83.0,83.6,73.1,69.5,,75.7,97.9,Cis woman,ANSUR (1988)
87.8,90.1,76.6,72.5,,83.5,93.0,Cis woman,ANSUR (1988)
92.0,93.5,75.7,72.7,,82.4,105.5,Cis woman,ANSUR (1988)
81.4,82.8,71.9,66.8,,71.8,89.7,Cis woman,ANSUR (1988)
75.8,71.1,66.4,60.6,,67.0,85.1,Cis woman,ANSUR (1988)
82.6,81.9,73.1,69.2,,70.2,93.1,Cis woman,ANSUR (1988)
81.0,82.9,69.0,65.1,,71.8,90.0,Cis woman,ANSUR (1988)
90.9,94.9,79.2,72.2,,86.7,97.4,Cis woman,ANSUR (1988)
75.9,74.4,64.0,58.3,,62.6,83.0,Cis woman,ANSUR (1988)
90.1,90.0,76.4,70.1,,74.2,98.6,Cis woman,ANSUR (1988)
90.6,92.7,77.5,70.9,,73.5,102.1,Cis woman,ANSUR (1988)
91.6,90.5,80.3,69.6,,79.4,95.1,Cis woman,ANSUR (1988)
97.8,101.2,84.3,82.0,,90.5,104.8,Cis woman,ANSUR (1988)
84.4,88.2,76.5,73.6,,77.6,99.9,Cis woman,ANSUR (1988)
91.3,94.2,79.5,71.5,,76.3,97.3,Cis woman,ANSUR (1988)
100.2,105.0,84.7,83.4,,93.5,105.6,Cis woman,ANSUR (1988)
94.4,95.6,82.3,81.2,,85.4,110.3,Cis woman,ANSUR (1988)
93.1,93.0,80.4,74.5,,77.7,89.0,Cis woman,ANSUR (1988)
85.2,82.9,74.3,69.5,,78.4,91.1,Cis woman,ANSUR (1988)
89.3,88.6,75.8,68.0,,71.4,95.5,Cis woman,ANSUR (1988)
89.2,87.8,79.0,70.9,,73.1,93.0,Cis woman,ANSUR (1988)
89.1,88.9,75.5,69.1,,74.4,96.9,Cis woman,ANSUR (1988)
87.8,92.6,79.3,70.7,,76.2,99.4,Cis woman,ANSUR (1988)
87.3,88.5,78.5,71.8,,77.1,95.0,Cis woman,ANSUR (1988)
92.8,98.5,80.2,77.8,,83.8,94.3,Cis woman,ANSUR (1988)
85.3,86.8,74.7,70.3,,79.2,101.6,Cis woman,ANSUR (1988)
88.6,88.8,75.6,70.6,,80.4,94.2,Cis woman,ANSUR (1988)
91.1,94.8,80.6,77.1,,82.7,100.7,Cis woman,ANSUR (1988)
85.5,84.0,74.5,66.3,,69.4,92.8,Cis woman,ANSUR (1988)
86.5,87.8,75.4,68.8,,72.8,93.3,Cis woman,ANSUR (1988)
88.4,88.8,74.9,67.0,,70.8,95.2,Cis woman,ANSUR (1988)
87.1,89.4,76.2,69.4,,77.1,95.7,Cis woman,ANSUR (1988)
90.6,91.9,80.4,72.7,,78.0,97.9,Cis woman,ANSUR (1988)
89.5,92.4,79.8,79.4,,88.3,98.7,Cis woman,ANSUR (1988)
94.0,96.0,80.5,81.7,,89.9,101.8,Cis woman,ANSUR (1988)
88.4,95.3,79.8,73.0,,77.3,99.8,Cis woman,ANSUR (1988)
94.9,95.8,82.5,75.9,,79.0,107.7,Cis woman,ANSUR (1988)
94.2,93.2,82.5,77.4,,84.7,101.8,Cis woman,ANSUR (1988)
90.2,93.3,77.5,71.2,,74.9,93.3,Cis woman,ANSUR (1988)
101.5,103.4,87.9,85.5,,95.1,112.4,Cis woman,ANSUR (1988)
85.5,83.8,72.4,67.8,,67.2,85.6,Cis woman,ANSUR (1988)
90.7,96.1,81.7,79.4,,87.4,101.7,Cis woman,ANSUR (1988)
87.2,86.0,72.3,68.1,,73.2,93.2,Cis woman,ANSUR (1988)
94.1,98.1,87.4,86.4,,91.6,104.8,Cis woman,ANSUR (1988)
83.2,85.7,76.3,73.1,,83.3,97.3,Cis woman,ANSUR (1988)
92.1,98.4,83.5,77.5,,84.4,93.6,Cis woman,ANSUR (1988)
91.4,90.5,79.3,75.5,,80.0,102.5,Cis woman,ANSUR (1988)
94.3,98.4,82.9,82.5,,89.6,101.0,Cis woman,ANSUR (1988)
86.3,89.4,75.2,70.0,,79.5,102.6,Cis woman,ANSUR (1988)
95.7,99.1,82.2,83.8,,95.6,103.6,Cis woman,ANSUR (1988)
80.2,83.9,70.3,64.7,,75.2,90.4,Cis woman,ANSUR (1988)
87.3,89.4,76.8,70.0,,80.3,99.9,Cis woman,ANSUR (1988)
90.3,93.4,74.8,68.8,,76.6,92.8,Cis woman,ANSUR (1988)
97.0,98.1,81.6,78.2,,91.7,99.3,Cis woman,ANSUR (1988)
80.1,78.7,69.4,60.1,,64.5,82.9,Cis woman,ANSUR (1988)
93.5,94.9,78.9,70.4,,70.9,103.3,Cis woman,ANSUR (1988)
81.5,77.0,66.4,61.6,,68.7,84.2,Cis woman,ANSUR (1988)
87.0,92.5,79.0,74.0,,79.4,97.2,Cis woman,ANSUR (1988)
85.0,86.2,72.8,70.3,,82.0,93.7,Cis woman,ANSUR (1988)
82.0,86.1,76.0,69.4,,73.5,92.6,Cis woman,ANSUR (1988)
83.3,83.6,70.1,64.7,,69.6,89.3,Cis woman,ANSUR (1988)
89.9,92.3,78.5,74.3,,80.0,95.6,Cis woman,ANSUR (1988)
94.8,96.7,82.8,90.9,,95.0,105.2,Cis woman,ANSUR (1988)
94.8,96.3,78.6,70.6,,78.1,100.2,Cis woman,ANSUR (1988)
85.4,91.6,74.7,71.7,,77.4,101.8,Cis woman,ANSUR (1988)
97.2,102.7,87.6,80.4,,87.6,97.5,Cis woman,ANSUR (1988)
94.4,103.0,86.3,85.7,,102.2,105.7,Cis woman,ANSUR (1988)
83.2,82.9,68.0,66.3,,72.4,89.3,Cis woman,ANSUR (1988)
95.8,97.1,81.4,77.9,,84.5,99.8,Cis woman,ANSUR (1988)
78.1,78.5,64.1,56.8,,68.0,83.5,Cis woman,ANSUR (1988)
86.8,95.0,78.8,73.7,,73.1,100.9,Cis woman,ANSUR (1988)
84.4,84.8,72.1,65.8,,71.3,89.0,Cis woman,ANSUR (1988)
89.6,92.5,77.0,71.0,,71.4,97.6,Cis woman,ANSUR (1988)
89.1,84.7,74.8,66.8,,69.0,97.0,Cis woman,ANSUR (1988)
88.7,95.8,79.0,76.4,,86.2,105.2,Cis woman,ANSUR (1988)
85.6,87.9,76.0,71.1,,78.1,91.0,Cis woman,ANSUR (1988)
87.9,91.5,76.4,72.7,,79.0,92.7,Cis woman,ANSUR (1988)
91.4,88.7,80.2,68.7,,75.4,91.2,Cis woman,ANSUR (1988)
90.8,93.6,80.8,77.9,,85.3,98.4,Cis woman,ANSUR (1988)
97.3,99.5,85.0,80.4,,82.3,100.5,Cis woman,ANSUR (1988)
91.7,95.0,78.9,74.7,,78.7,99.6,Cis woman,ANSUR (1988)
95.9,100.5,80.9,72.6,,75.2,97.9,Cis woman,ANSUR (1988)
87.8,90.4,77.6,68.3,,77.8,88.5,Cis woman,ANSUR (1988)
86.1,88.0,73.8,69.6,,71.4,97.2,Cis woman,ANSUR (1988)
93.8,97.0,82.3,80.4,,92.8,102.4,Cis woman,ANSUR (1988)
93.9,93.7,79.6,71.5,,72.7,93.9,Cis woman,ANSUR (1988)
87.8,93.7,77.5,74.7,,80.0,101.6,Cis woman,ANSUR (1988)
92.1,91.8,74.7,72.1,,82.5,94.4,Cis woman,ANSUR (1988)
89.7,90.4,78.8,76.5,,86.2,97.7,Cis woman,ANSUR (1988)
80.9,84.5,69.0,65.7,,70.7,87.4,Cis woman,ANSUR (1988)
101.3,106.9,88.6,89.0,,92.5,100.4,Cis woman,ANSUR (1988)
92.2,94.3,79.1,78.8,,81.5,95.3,Cis woman,ANSUR (1988)
88.3,91.1,75.9,74.5,,81.4,92.3,Cis woman,ANSUR (1988)
88.5,89.4,78.9,73.7,,79.3,98.1,Cis woman,ANSUR (1988)
81.3,78.8,69.0,63.1,,67.8,92.2,Cis woman,ANSUR (1988)
87.6,92.5,76.3,73.9,,82.5,98.8,Cis woman,ANSUR (1988)
81.4,84.1,71.5,61.7,,70.9,88.4,Cis woman,ANSUR (1988)
93.1,95.6,84.0,84.0,,88.4,95.0,Cis woman,ANSUR (1988)
85.2,88.1,78.9,71.4,,80.3,99.3,Cis woman,ANSUR (1988)
83.1,83.1,72.2,68.4,,70.5,94.0,Cis woman,ANSUR (1988)
79.4,79.5,67.5,61.5,,65.7,83.3,Cis woman,ANSUR (1988)
86.2,88.4,74.4,73.5,,82.4,101.3,Cis woman,ANSUR (1988)
86.1,85.0,72.0,69.8,,69.8,91.8,Cis woman,ANSUR (1988)
85.8,91.4,74.4,73.0,,84.6,103.8,Cis woman,ANSUR (1988)
83.3,90.3,71.6,67.0,,77.2,93.2,Cis woman,ANSUR (1988)
79.8,81.1,65.5,59.7,,65.0,92.9,Cis woman,ANSUR (1988)
86.6,88.0,70.1,69.8,,75.8,95.0,Cis woman,ANSUR (1988)
85.2,87.7,70.1,68.6,,76.3,87.6,Cis woman,ANSUR (1988)
87.5,85.9,73.9,67.9,,66.5,85.9,Cis woman,ANSUR (1988)
80.9,81.1,68.9,67.3,,70.1,86.8,Cis woman,ANSUR (1988)
100.5,101.1,82.2,85.1,,97.0,111.9,Cis woman,ANSUR (1988)
93.3,91.7,76.4,73.4,,79.0,100.7,Cis woman,ANSUR (1988)
87.0,91.0,74.7,72.3,,78.7,94.3,Cis woman,ANSUR (1988)
87.5,88.2,75.1,71.9,,74.5,90.8,Cis woman,ANSUR (1988)
96.9,102.2,82.6,83.3,,101.6,104.1,Cis woman,ANSUR (1988)
85.4,87.2,73.3,65.7,,72.5,89.2,Cis woman,ANSUR (1988)
94.6,97.3,84.5,80.3,,81.7,97.7,Cis woman,ANSUR (1988)
90.7,96.3,78.5,72.5,,82.4,106.3,Cis woman,ANSUR (1988)
86.3,91.1,78.4,76.9,,85.7,99.5,Cis woman,ANSUR (1988)
83.9,82.1,70.9,67.4,,71.5,90.5,Cis woman,ANSUR (1988)
91.6,93.1,79.4,75.2,,83.1,102.8,Cis woman,ANSUR (1988)
89.3,91.9,79.7,75.3,,81.1,102.8,Cis woman,ANSUR (1988)
86.4,91.4,75.7,71.7,,74.3,94.1,Cis woman,ANSUR (1988)
91.2,94.0,82.3,74.3,,73.9,90.3,Cis woman,ANSUR (1988)
79.9,83.9,72.2,68.5,,69.8,89.8,Cis woman,ANSUR (1988)
90.9,90.4,80.0,76.9,,84.3,108.0,Cis woman,ANSUR (1988)
88.4,89.8,78.3,69.6,,72.8,98.9,Cis woman,ANSUR (1988)
87.9,90.2,75.7,74.8,,79.6,98.7,Cis woman,ANSUR (1988)
88.4,94.2,80.3,75.5,,89.6,98.0,Cis woman,ANSUR (1988)
91.6,93.2,81.8,75.6,,82.6,96.3,Cis woman,ANSUR (1988)
89.7,89.1,73.8,68.2,,81.5,94.7,Cis woman,ANSUR (1988)
91.3,95.6,82.4,76.3,,81.9,101.2,Cis woman,ANSUR (1988)
97.6,98.1,86.9,84.5,,86.2,105.2,Cis woman,ANSUR (1988)
92.7,92.6,81.2,73.2,,75.1,97.5,Cis woman,ANSUR (1988)
88.9,88.4,74.1,67.7,,69.8,90.8,Cis woman,ANSUR (1988)
91.7,92.4,78.5,75.5,,84.1,95.6,Cis woman,ANSUR (1988)
86.9,91.6,77.4,75.4,,97.5,103.6,Cis woman,ANSUR (1988)
79.8,79.6,67.0,60.8,,71.7,88.6,Cis woman,ANSUR (1988)
87.8,92.6,75.3,69.3,,72.1,93.4,Cis woman,ANSUR (1988)
80.2,81.1,70.6,66.8,,75.5,85.9,Cis woman,ANSUR (1988)
92.7,93.9,79.8,79.8,,83.5,102.0,Cis woman,ANSUR (1988)
81.1,82.0,71.5,70.5,,73.5,91.8,Cis woman,ANSUR (1988)
87.4,87.9,74.0,70.8,,73.1,88.0,Cis woman,ANSUR (1988)
97.8,101.8,88.5,83.4,,92.8,104.1,Cis woman,ANSUR (1988)
87.8,88.3,71.0,65.4,,78.9,94.3,Cis woman,ANSUR (1988)
87.4,88.2,71.8,69.9,,71.8,96.0,Cis woman,ANSUR (1988)
84.3,83.9,71.4,65.8,,78.9,94.2,Cis woman,ANSUR (1988)
87.8,87.5,76.6,71.9,,78.2,92.0,Cis woman,ANSUR (1988)
103.1,107.6,90.6,90.2,,103.5,103.9,Cis woman,ANSUR (1988)
92.7,93.7,81.8,78.1,,79.3,95.4,Cis woman,ANSUR (1988)
79.8,85.2,73.0,72.1,,80.6,97.5,Cis woman,ANSUR (1988)
95.1,102.4,86.3,86.4,,94.5,106.4,Cis woman,ANSUR (1988)
83.1,84.6,68.6,63.5,,71.3,88.8,Cis woman,ANSUR (1988)
89.1,91.9,77.5,69.7,,73.0,97.6,Cis woman,ANSUR (1988)
85.5,89.4,74.4,69.1,,73.1,93.3,Cis woman,ANSUR (1988)
92.3,100.5,86.4,81.1,,93.0,96.9,Cis woman,ANSUR (1988)
84.1,84.7,71.0,65.4,,76.5,92.8,Cis woman,ANSUR (1988)
86.2,88.9,77.1,72.3,,79.2,95.0,Cis woman,ANSUR (1988)
84.4,88.4,74.8,65.6,,74.5,91.9,Cis woman,ANSUR (1988)
95.3,101.5,81.3,77.9,,89.8,97.7,Cis woman,ANSUR (1988)
84.8,83.1,73.2,67.5,,70.2,93.8,Cis woman,ANSUR (1988)
81.6,81.8,72.0,62.1,,67.8,89.2,Cis woman,ANSUR (1988)
93.9,91.3,79.2,78.3,,93.1,103.7,Cis woman,ANSUR (1988)
89.9,91.4,77.3,71.4,,72.2,92.7,Cis woman,ANSUR (1988)
80.5,84.7,72.4,67.0,,71.3,92.9,Cis woman,ANSUR (1988)
82.8,83.0,74.1,71.0,,75.7,90.0,Cis woman,ANSUR (1988)
86.5,84.8,71.1,66.0,,65.9,88.2,Cis woman,ANSUR (1988)
87.6,84.1,73.2,70.6,,80.6,95.2,Cis woman,ANSUR (1988)
93.3,94.5,81.5,77.8,,82.9,97.0,Cis woman,ANSUR (1988)
84.2,82.0,69.9,64.9,,67.1,84.5,Cis woman,ANSUR (1988)
86.7,89.0,74.0,70.3,,80.8,96.0,Cis woman,ANSUR (1988)
92.9,97.9,85.8,83.1,,93.4,101.6,Cis woman,ANSUR (1988)
93.5,91.0,76.0,74.5,,79.2,98.1,Cis woman,ANSUR (1988)
81.9,81.8,71.0,62.7,,64.0,79.6,Cis woman,ANSUR (1988)
90.1,95.3,83.7,83.0,,92.1,96.8,Cis woman,ANSUR (1988)
86.0,85.6,70.5,67.3,,76.5,94.8,Cis woman,ANSUR (1988)
86.3,81.2,72.7,68.3,,71.1,90.2,Cis woman,ANSUR (1988)
84.3,83.2,68.8,62.4,,65.8,90.7,Cis woman,ANSUR (1988)
95.8,100.1,83.5,82.5,,89.3,98.5,Cis woman,ANSUR (1988)
102.3,105.0,89.5,85.0,,100.0,108.8,Cis woman,ANSUR (1988)
89.9,88.8,79.2,73.8,,76.6,93.9,Cis woman,ANSUR (1988)
91.3,92.8,78.4,75.2,,83.3,97.9,Cis woman,ANSUR (1988)
93.9,94.1,79.9,77.1,,91.0,105.2,Cis woman,ANSUR (1988)
89.5,92.6,78.7,72.0,,78.3,101.4,Cis woman,ANSUR (1988)
