,Transmasc,Transfemme
fit_poorly_pre_transition,10.65,14.81
fit_well_pre_transition,82.98,85.18
better,10.64,11.11
neutral,29.79,22.22
worse,42.55,51.85
neutral_or_worse,72.34,74.07
