how well did standard sizing fit pre-transition,how did that change,count
Poorly,For the better,2.13
Poorly,For the worse,4.26
Poorly,Neutrally,4.26
Somewhat well,For the better,10.64
Somewhat well,For the worse,25.53
Somewhat well,Neutrally,25.53
Very poorly,For the better,2.13
Very poorly,Neutrally,4.26
Very well,For the worse,17.02
Very well,Neutrally,4.26
Very well,For the better,0.0
Very poorly,For the worse,0.0
